Tên,Link,Giá,Ảnh,Màu,Màn hình,Camera sau,Camera trước,Hệ điều hành - CPU,Bộ nhớ - Lưu trữ,Kết nối,Thông tin pin - Sạc
iPhone 12 64GB Chính hãng (VN/A),https://didongviet.vn/iphone-12-64gb-vna,20190000,https://didongviet.vn/pub/media/catalog/product//i/p/iphone-12-didongviet.jpg,"Green, Red, Black, White, Blue","Công nghệ màn hình: Super Retina XDR OLED, Độ phân giải: 1170 x 2532 pixels, Màn hình rộng: 6.1 inches","Độ phân giải: 12 MP + 12 MP, Quay phim: 4K@24/30/60fps, 1080p@30/60/120/240fps, HDR, Dolby Vision HDR (up to 30fps), stereo sound rec.",Độ phân giải: 12 MP,"Hệ điều hành: iOS 14.1, Chipset (hãng SX CPU): Apple A14 Bionic (5 nm), Tốc độ CPU: Hexa-core, Chip đồ họa (GPU): Apple GPU (4-core graphics)","RAM: 4 GB, Bộ nhớ trong: 64 GB, Thẻ nhớ ngoài: Không","Wifi: Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot, GPS: Yes, with A-GPS, GLONASS, GALILEO, QZSS, Bluetooth: 5.0, A2DP, LE, Cổng kết nối/sạc: Lightning, USB 2.0",Dung lượng pin: 2815 mAh
iPhone 11 64GB cũ,https://didongviet.vn/apple-iphone-11-64gb-likenew,13590000,https://didongviet.vn/pub/media/catalog/product//i/p/iphone-11-didongviet_3_8.jpg,"Màu đen, Màu đỏ, Màu vàng, Màu trắng, Màu tím, Màu xanh","Công nghệ màn hình: IPS LCD, Độ phân giải: 828 x 1792 pixels, Màn hình rộng: 6.1 inches","Độ phân giải: 12 MP + 12 MP, Quay phim: 2160p@24/30/60fps, 1080p@30/60/120/240fps, HDR, stereo sound rec.","Độ phân giải: 12 MP, f/2.2","Hệ điều hành: iOS 13, Chipset (hãng SX CPU): Apple A13 Bionic, Tốc độ CPU: Hexa-core","RAM: 4 GB, Bộ nhớ trong: 64 GB","SIM: Nano SIM, Wifi: Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, hotspot, GPS: A-GPS, GLONASS, GALILEO, QZSS, Bluetooth: 5.0, A2DP, LE",Loại pin: Li-Ion
iPhone X 64GB cũ,https://didongviet.vn/iphone-x-64gb-like-new,8190000,https://didongviet.vn/pub/media/catalog/product//i/p/iphone-x-64gb_2.jpg,"Màu xám, Màu bạc","Công nghệ màn hình: OLED, Độ phân giải: 1125 x 2436 pixels, Màn hình rộng: 5.8 inches","Độ phân giải: Dual: 12 MP (f/1.8, 28mm) + 12 MP (f/2.4, 52mm), OIS, phase detection autofocus, 2x optical zoom, quad-LED dual-tone flash,, Quay phim: 2160p@24/30/60fps, 1080p@30/60/120/240fps, Đèn Flash: Có",Độ phân giải: 7 MP,"Hệ điều hành: iOS 11.1.1, Chipset (hãng SX CPU): Apple A11 Bionic, Tốc độ CPU: Hexa-core 2.39 GHz (2x Monsoon + 4x Mistral)","RAM: 3 GB, Bộ nhớ trong: 64 GB","Wifi: Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot, GPS: Yes, with A-GPS, GLONASS, GALILEO, QZSS, Bluetooth: 5.0, A2DP, LE",Dung lượng pin: 2716 mAh
iPhone 7 32GB cũ,https://didongviet.vn/iphone-7-32gb-ll-a-quoc-te,3790000,https://didongviet.vn/pub/media/catalog/product//i/p/iphone-7-vang-didongviet_1_9.jpg,"Đen bóng, Màu hồng, Màu trắng, Gold, Đen nhám","Công nghệ màn hình: LED-backlit IPS LCD, Độ phân giải: HD (1334 x 750 Pixels), Màn hình rộng: 4.7 inch, Mặt kính cảm ứng: Kính oleophobic (ion cường lực)","Độ phân giải: 12 MP, Quay phim: Quay phim 4K 2160p@30fps, Đèn Flash: 4 đèn LED (2 tông màu), Chụp ảnh nâng cao: Tự động lấy nét, Chạm lấy nét, Nhận diện khuôn mặt, HDR, Panorama, Chống rung quang học (OIS)","Độ phân giải: 7 MP, Videocall: Hỗ trợ VideoCall thông qua ứng dụng, Thông tin khác: Selfie ngược sáng HDR, Tự động lấy nét, Quay video Full HD, Nhận diện khuôn mặt, Retina Flash, Panorama","Hệ điều hành: iOS 10, Chipset (hãng SX CPU): Apple A10 Fusion 4 nhân 64-bit, Tốc độ CPU: 2.3 GHz, Chip đồ họa (GPU): Chip đồ họa 6 nhân","RAM: 2 GB, Bộ nhớ trong: 32 GB, Bộ nhớ còn lại (khả dụng): Khoảng 28 GB, Thẻ nhớ ngoài: Không","Mạng di động: 3G, 4G LTE Cat 9, SIM: 1 Nano SIM, Wifi: Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi hotspot, GPS: A-GPS, GLONASS, Bluetooth: v4.2, A2DP, LE, Cổng kết nối/sạc: Lightning, Jack tai nghe: Không, Kết nối khác: Air Play, NFC, OTG, HDMI","Dung lượng pin: 1960 mAh, Loại pin: Pin chuẩn Li-Ion, Công nghệ pin: Tiết kiệm pin"
iPhone 12 128GB Chính hãng (VN/A),https://didongviet.vn/iphone-12-128gb-vna,21990000,https://didongviet.vn/pub/media/catalog/product//i/p/iphone-12-didongviet_1.jpg,"Black, White, Green, Blue, Red","Công nghệ màn hình: Super Retina XDR OLED, Độ phân giải: 1170 x 2532 pixels, Màn hình rộng: 6.1 inches","Độ phân giải: 12 MP + 12 MP, Quay phim: 4K@24/30/60fps, 1080p@30/60/120/240fps, HDR, Dolby Vision HDR (up to 30fps)",Độ phân giải: 12 MP,"Hệ điều hành: iOS 14, Chipset (hãng SX CPU): Apple A14 Bionic (5 nm), Tốc độ CPU: Hexa-core",Bộ nhớ trong: 128 GB,"Mạng di động: Hỗ trợ 5G, Wifi: Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot, Bluetooth: 5.0, A2DP, LE, Cổng kết nối/sạc: Lightning, USB 2.0",
iPhone 12 Pro 128GB Chính hãng (VN/A),https://didongviet.vn/iphone-12-pro-128gb-vna,26590000,https://didongviet.vn/pub/media/catalog/product//i/p/iphone-12-pro-128gb-didongviet.jpg,"Silver, Graphite, Pacific Blue, Gold","Công nghệ màn hình: Super Retina XDR OLED, Độ phân giải: 1170 x 2532 pixels, Màn hình rộng: 6.1 inches","Độ phân giải: 12 MP + 12 MP + 12 MP + TOF, Quay phim: 4K@24/30/60fps, 1080p@30/60/120/240fps, HDR, Dolby Vision HDR (up to 60fps)",Độ phân giải: 12 MP,"Hệ điều hành: iOS 14, Chipset (hãng SX CPU): Apple A14 Bionic (5 nm), Tốc độ CPU: Hexa-core",Bộ nhớ trong: 128 GB,"Mạng di động: Hỗ trợ 5G, Wifi: Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot, Bluetooth: 5.0, A2DP, LE, Cổng kết nối/sạc: Lightning, USB 2.0","Dung lượng pin: 2815 mAh, Loại pin: Li-Ion, Công nghệ pin: Sạc nhanh 20W"
iPhone 12 Pro 256GB Chính hãng (VN/A),https://didongviet.vn/iphone-12-pro-256gb-vna,28490000,https://didongviet.vn/pub/media/catalog/product//i/p/iphone-12-pro-256gb-didongviet.jpg,"Graphite, Pacific Blue, Silver, Gold","Công nghệ màn hình: Super Retina XDR OLED, Độ phân giải: 1170 x 2532 pixels, Màn hình rộng: 6.1 inches","Độ phân giải: 12 MP + 12 MP + 12 MP + TOF, Quay phim: 4K@24/30/60fps, 1080p@30/60/120/240fps, HDR, Dolby Vision HDR (up to 60fps)",Độ phân giải: 12 MP,"Hệ điều hành: iOS 14, Chipset (hãng SX CPU): Apple A14 Bionic (5 nm), Tốc độ CPU: Hexa-core",Bộ nhớ trong: 256 GB,"Mạng di động: Hỗ trợ 5G, Wifi: Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot, Bluetooth: 5.0, A2DP, LE, Cổng kết nối/sạc: Lightning, USB 2.0",
iPhone 12 Pro 512GB Chính hãng (VN/A),https://didongviet.vn/iphone-12-pro-512gb-vna,33990000,https://didongviet.vn/pub/media/catalog/product//i/p/iphone-12-pro-256gb-didongviet_1.jpg,"Gold, Graphite, Pacific Blue, Silver","Công nghệ màn hình: Super Retina XDR OLED, Độ phân giải: 1170 x 2532 pixels, Màn hình rộng: 6.1 inches","Độ phân giải: 12 MP + 12 MP + 12 MP + TOF, Quay phim: 4K@24/30/60fps, 1080p@30/60/120/240fps, HDR, Dolby Vision HDR (up to 60fps)",Độ phân giải: 12 MP,"Hệ điều hành: iOS 14, Chipset (hãng SX CPU): Apple A14 Bionic (5 nm), Tốc độ CPU: Hexa-core",Bộ nhớ trong: 512 GB,"Mạng di động: Hỗ trợ 5G, Wifi: Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot, Bluetooth: 5.0, A2DP, LE, Cổng kết nối/sạc: Lightning, USB 2.0",
iPhone 12 Pro Max 128GB Chính hãng (VN/A),https://didongviet.vn/iphone-12-pro-max-128gb-vna,29190000,https://didongviet.vn/pub/media/catalog/product//i/p/iphone-12-promax-didongviet.jpg,"Silver, Graphite, Pacific Blue, Gold","Công nghệ màn hình: Super Retina XDR OLED, Độ phân giải: 1284 x 2778 pixels, Màn hình rộng: 6.7 inches","Độ phân giải: 12 MP + 12 MP + 12 MP + TOF, Quay phim: 4K@24/30/60fps, 1080p@30/60/120/240fps, HDR, Dolby Vision HDR (up to 60fps)",Độ phân giải: 12 MP,"Hệ điều hành: iOS 14, Chipset (hãng SX CPU): Apple A14 Bionic (5 nm), Tốc độ CPU: Hexa-core",Bộ nhớ trong: 128 GB,"Mạng di động: Hỗ trợ 5G, Wifi: Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot, Bluetooth: 5.0, A2DP, LE, Cổng kết nối/sạc: Lightning, USB 2.0",
iPhone 12 Pro Max 256GB Chính hãng (VN/A),https://didongviet.vn/iphone-12-pro-max-256gb-vna,31990000,https://didongviet.vn/pub/media/catalog/product//i/p/iphone-12-promax-didongviet_1.jpg,"Silver, Graphite, Pacific Blue, Gold","Công nghệ màn hình: Super Retina XDR OLED, Độ phân giải: 1284 x 2778 pixels, Màn hình rộng: 6.7 inches","Độ phân giải: 12 MP + 12 MP + 12 MP + TOF, Quay phim: 4K@24/30/60fps, 1080p@30/60/120/240fps, HDR, Dolby Vision HDR (up to 60fps)",Độ phân giải: 12 MP,"Hệ điều hành: iOS 14, Chipset (hãng SX CPU): Apple A14 Bionic (5 nm), Tốc độ CPU: Hexa-core",Bộ nhớ trong: 256 GB,"Mạng di động: Hỗ trợ 5G, Wifi: Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot, Bluetooth: 5.0, A2DP, LE, Cổng kết nối/sạc: Lightning, USB 2.0",
iPhone 12 Pro Max 512GB Chính hãng (VN/A),https://didongviet.vn/iphone-12-pro-max-512gb-vna,37590000,https://didongviet.vn/pub/media/catalog/product//i/p/iphone-12-promax-didongviet_2.jpg,"Silver, Graphite, Pacific Blue, Gold","Công nghệ màn hình: Super Retina XDR OLED, Độ phân giải: 1284 x 2778 pixels, Màn hình rộng: 6.7 inches","Độ phân giải: 12 MP + 12 MP + 12 MP + TOF, Quay phim: 4K@24/30/60fps, 1080p@30/60/120/240fps, HDR, Dolby Vision HDR (up to 60fps)",Độ phân giải: 12 MP,"Hệ điều hành: iOS 14, Chipset (hãng SX CPU): Apple A14 Bionic (5 nm), Tốc độ CPU: Hexa-core",Bộ nhớ trong: 512 GB,"Mạng di động: Hỗ trợ 5G, Wifi: Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot, Bluetooth: 5.0, A2DP, LE, Cổng kết nối/sạc: Lightning, USB 2.0",
iPhone 11 64GB Chính hãng (VN/A) (Hộp mới),https://didongviet.vn/iphone-11-64gb-chinh-hang,15990000,https://didongviet.vn/pub/media/catalog/product//i/p/iphone-11-64gb-chinh-hang_1_3.jpg,"Màu đỏ, Màu xanh, Màu trắng, Màu đen, Màu tím, Màu vàng","Công nghệ màn hình: IPS LCD, Độ phân giải: 828 x 1792 pixels, Màn hình rộng: 6.1 inches","Độ phân giải: 12 MP + 12 MP, Quay phim: 2160p@24/30/60fps, 1080p@30/60/120/240fps, HDR, stereo sound rec.","Độ phân giải: 12 MP, f/2.2","Hệ điều hành: iOS 13, Chipset (hãng SX CPU): Apple A13 Bionic, Tốc độ CPU: Hexa-core","RAM: 4 GB, Bộ nhớ trong: 64 GB","SIM: Nano SIM, Wifi: Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, hotspot, GPS: A-GPS, GLONASS, GALILEO, QZSS, Bluetooth: 5.0, A2DP, LE","Dung lượng pin: 3110 mAh, Loại pin: Li-Ion"
iPhone 11 128GB cũ,https://didongviet.vn/iphone-11-128gb-like-new,14590000,https://didongviet.vn/pub/media/catalog/product//i/p/iphone-11-128gb-like-new.jpg,"Màu đỏ, Màu trắng, Màu đen, Màu tím, Màu vàng, Màu xanh","Công nghệ màn hình: IPS LCD, Độ phân giải: 828 x 1792 pixels, Màn hình rộng: 6.1 inches","Độ phân giải: 12 MP + 12 MP, Quay phim: 2160p@24/30/60fps, 1080p@30/60/120/240fps, HDR, stereo sound rec.","Độ phân giải: 12 MP, f/2.2","Hệ điều hành: iOS 13, Chipset (hãng SX CPU): Apple A13 Bionic (7 nm+)","RAM: 4 GB, Bộ nhớ trong: 128 GB","SIM: Nano SIM, Wifi: Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, hotspot, GPS: A-GPS, GLONASS, GALILEO, QZSS, Bluetooth: 5.0, A2DP, LE",Loại pin: Li-Ion
iPhone 11 128GB Chính hãng (VN/A) (Hộp mới),https://didongviet.vn/iphone-11-128gb-chinh-hang,17590000,https://didongviet.vn/pub/media/catalog/product//i/p/iphone-11-128gb-chinh-hang_2.jpg,"Màu đỏ, Màu xanh, Màu trắng, Màu đen, Màu vàng, Màu tím","Công nghệ màn hình: IPS LCD, Độ phân giải: 828 x 1792 pixels, Màn hình rộng: 6.1 inches","Độ phân giải: 12 MP + 12 MP, Quay phim: 2160p@24/30/60fps, 1080p@30/60/120/240fps, HDR, stereo sound rec.","Độ phân giải: 12 MP, f/2.2","Hệ điều hành: iOS 13, Chipset (hãng SX CPU): Apple A13 Bionic (7 nm+)","RAM: 4 GB, Bộ nhớ trong: 128 GB","SIM: Nano SIM, Wifi: Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, hotspot, GPS: A-GPS, GLONASS, GALILEO, QZSS, Bluetooth: 5.0, A2DP, LE","Dung lượng pin: 3110 mAh, Loại pin: Li-Ion"
iPhone 11 Pro 64GB cũ,https://didongviet.vn/iphone-11-pro-64gb-likenew,15590000,https://didongviet.vn/pub/media/catalog/product//i/p/iphone-11-pro-max-xanh-reu-didongviet_7.jpg,"Màu đen, Màu trắng, Xanh rêu, Vàng (Gold)","Công nghệ màn hình: OLED, Độ phân giải: 1125 x 2436 pixels, Màn hình rộng: 5.8 inches","Độ phân giải: 12 MP + 12 MP + 12 MP, Quay phim: 2160p@24/30/60fps, 1080p@30/60/120/240fps, HDR, stereo sound rec., Đèn Flash: Có","Độ phân giải: 12 MP, f/2.2, Videocall: Có","Hệ điều hành: iOS 13, Chipset (hãng SX CPU): Apple A13 Bionic, Tốc độ CPU: Hexa-core","RAM: 4 GB, Bộ nhớ trong: 64 GB","SIM: Nano SIM, Wifi: Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, hotspot, GPS: A-GPS, GLONASS, GALILEO, QZSS, Bluetooth: 5.0, A2DP, LE","Dung lượng pin: 3046 mAh, Loại pin: Li-Ion, Công nghệ pin: Sạc nhanh 18W"
iPhone 11 Pro 256GB cũ,https://didongviet.vn/iphone-11-pro-256gb-like-new,17490000,https://didongviet.vn/pub/media/catalog/product//i/p/iphone-11-pro-xam-didongviet_11.jpg,"Màu đen, Màu trắng, Màu xanh, Vàng (Gold)","Công nghệ màn hình: OLED, Độ phân giải: 1125 x 2436 pixels, Màn hình rộng: 5.8 inches","Độ phân giải: 12 MP + 12 MP + 12 MP, Quay phim: 2160p@24/30/60fps, 1080p@30/60/120/240fps, HDR, stereo sound rec., Đèn Flash: Có","Độ phân giải: 12 MP, f/2.2","Hệ điều hành: iOS 13, Chipset (hãng SX CPU): Apple A13 Bionic, Tốc độ CPU: Hexa-core","RAM: 4 GB, Bộ nhớ trong: 256 GB","SIM: Nano SIM, Wifi: Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, hotspot, GPS: A-GPS, GLONASS, GALILEO, QZSS, Bluetooth: 5.0, A2DP, LE","Dung lượng pin: 3046 mAh, Loại pin: Li-Ion, Công nghệ pin: Sạc nhanh 18W"
iPhone 11 Pro Max 64GB cũ,https://didongviet.vn/iphone-11-pro-max-64gb-like-new,18790000,https://didongviet.vn/pub/media/catalog/product//9/9/99-min.jpg,"Màu đen, Màu trắng, Màu xanh, Vàng (Gold)","Công nghệ màn hình: OLED, Độ phân giải: 1242 x 2688 pixels, Màn hình rộng: 6.5 inches","Độ phân giải: 12 MP + 12 MP + 12 MP, Quay phim: 2160p@24/30/60fps, 1080p@30/60/120/240fps, HDR, stereo sound rec., Đèn Flash: Có","Độ phân giải: 12 MP, f/2.2","Hệ điều hành: iOS 13, Chipset (hãng SX CPU): Apple A13 Bionic, Tốc độ CPU: Hexa-core","RAM: 4 GB, Bộ nhớ trong: 64 GB","SIM: Nano SIM, Wifi: Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, hotspot, GPS: A-GPS, GLONASS, GALILEO, QZSS, Bluetooth: 5.0, A2DP, LE","Dung lượng pin: 3.969 mAh, Loại pin: Li-Ion, Công nghệ pin: Sạc nhanh 18W"
iPhone 11 Pro Max 256GB cũ,https://didongviet.vn/iphone-11-pro-max-256gb-like-new,20790000,https://didongviet.vn/pub/media/catalog/product//i/p/iphone-11-pro-max-xanh-didongviet_19_5.jpg,"Màu đen, Màu trắng, Màu xanh, Vàng (Gold)","Công nghệ màn hình: OLED, Độ phân giải: 1242 x 2688 pixels, Màn hình rộng: 6.5 inches","Độ phân giải: 12 MP + 12 MP + 12 MP, Quay phim: 2160p@24/30/60fps, 1080p@30/60/120/240fps, HDR, stereo sound rec., Đèn Flash: Có","Độ phân giải: 12 MP, f/2.2","Hệ điều hành: iOS 13, Chipset (hãng SX CPU): Apple A13 Bionic, Tốc độ CPU: Hexa-core","RAM: 4 GB, Bộ nhớ trong: 256 GB","SIM: Nano SIM, Wifi: Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, hotspot, GPS: A-GPS, GLONASS, GALILEO, QZSS, Bluetooth: 5.0, A2DP, LE","Dung lượng pin: 3.969 mAh, Loại pin: Li-Ion, Công nghệ pin: Sạc nhanh 18W"
