Tên,Link,Giá,Ảnh,Màu,Màn hình,Camera sau,Camera trước,Hệ điều hành - CPU,Bộ nhớ - Lưu trữ,Kết nối,Thông tin pin - Sạc
iPhone X 256GB cũ,https://didongviet.vn/iphone-x-256gb-like-new,8990000,https://didongviet.vn/pub/media/catalog/product//i/p/iphone-x-256gb-cu-den-didongviet_1_10.jpg,"Màu xám, Màu bạc","Công nghệ màn hình: OLED, Độ phân giải: 1125 x 2436 pixels, Màn hình rộng: 5.8 inches","Độ phân giải: Dual: 12 MP (f/1.8, 28mm) + 12 MP (f/2.4, 52mm), OIS, phase detection autofocus, 2x optical zoom, quad-LED dual-tone flash,, Quay phim: 2160p@24/30/60fps, 1080p@30/60/120/240fps, Đèn Flash: Có",Độ phân giải: 7 MP,"Hệ điều hành: iOS 11.1.1, Chipset (hãng SX CPU): Apple A11 Bionic, Tốc độ CPU: Hexa-core 2.39 GHz (2x Monsoon + 4x Mistral)","RAM: 3 GB, Bộ nhớ trong: 256 GB","Wifi: Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot, GPS: Yes, with A-GPS, GLONASS, GALILEO, QZSS, Bluetooth: 5.0, A2DP, LE",Dung lượng pin: 2716 mAh
iPhone Xr 64GB cũ,https://didongviet.vn/iphone-xr-64gb-like-new,8790000,https://didongviet.vn/pub/media/catalog/product//x/r/xr-min.jpg,"Màu trắng, Màu đen, Màu đỏ, Màu vàng, Xanh dương, Màu cam","Công nghệ màn hình: IPS LCD, Độ phân giải: 828 x 1792 pixels, Màn hình rộng: 6.1 inches","Độ phân giải: 12 MP, f/1.8, 28mm, 1.4µm, OIS, PDAF, Quay phim: 2160p@24/30/60fps, 1080p@30/60/120/240fps, HDR, stereo sound rec.","Độ phân giải: 7 MP, f/2.2","Hệ điều hành: iOS 12, Chipset (hãng SX CPU): Apple A12 Bionic, Tốc độ CPU: Hexa-core","RAM: 3 GB, Bộ nhớ trong: 64 GB",,
iPhone Xr 64GB Chính hãng (VN/A) (Hộp mới),https://didongviet.vn/iphone-xr-64gb-vn-a,12390000,https://didongviet.vn/pub/media/catalog/product//i/p/iphone-xr-64gb-vn-a.jpg,"Màu cam, Màu xanh, Màu trắng, Màu đen, Màu đỏ, Màu vàng","Công nghệ màn hình: IPS LCD, Độ phân giải: 828 x 1792 pixels, Màn hình rộng: 6.1 inches","Độ phân giải: 12 MP, f/1.8, 28mm, 1.4µm, OIS, PDAF, Quay phim: 2160p@24/30/60fps, 1080p@30/60/120/240fps, HDR, stereo sound rec.","Độ phân giải: 7 MP, f/2.2","Hệ điều hành: iOS 12, Chipset (hãng SX CPU): Apple A12 Bionic, Tốc độ CPU: Hexa-core",RAM: 3 GB,,Dung lượng pin: 2942 mAh
iPhone Xs 64GB cũ,https://didongviet.vn/iphone-xs-64gb-like-new,8990000,https://didongviet.vn/pub/media/catalog/product//5/7/5758686-min_1.jpg,"Màu xám, Màu bạc, Gold","Công nghệ màn hình: Super AMOLED, Độ phân giải: 1125 x 2436 pixels, Màn hình rộng: 5.8 inches","Độ phân giải: 12 MP, f/1.8, 28mm, 1.4µm, OIS, PDAF và 12 MP, f/2.4, 52mm, 1.0µm, OIS, PDAF, 2x optical zoom, Quay phim: 2160p@24/30/60fps, 1080p@30/60/120/240fps, HDR, stereo sound rec., Đèn Flash: 4 đèn LED (2 tông màu), Chụp ảnh nâng cao: Điều chỉnh khẩu độ, A.I Camera, Chế độ chụp ban đêm (ánh sáng yếu), Chế độ Slow Motion, Chụp ảnh xóa phông, Zoom quang học, Tự động lấy nét, Chạm lấy nét, Nhận diện khuôn mặt, HDR, Panorama, Chống rung quang học (OIS)","Độ phân giải: 7 MP, f/2.2, Videocall: Có, Thông tin khác: Nhận diện khuôn mặt, Quay video Full HD, Selfie ngược sáng HDR","Hệ điều hành: iOS 12, Chipset (hãng SX CPU): Apple A12 Bionic, Tốc độ CPU: Hexa-core, Chip đồ họa (GPU): Apple GPU 4 nhân","RAM: 4 GB, Bộ nhớ trong: 64 GB","Mạng di động: Hỗ trợ 4G, Wifi: Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot, GPS: A-GPS, GLONASS, GALILEO, QZSS, Bluetooth: 5.0, A2DP, LE, Cổng kết nối/sạc: Lightning, Kết nối khác: NFC, OTG","Dung lượng pin: 2658 mAh, Loại pin: Pin chuẩn Li-Ion, Công nghệ pin: Tiết kiệm pin, Sạc pin nhanh, Sạc pin không dây"
iPhone Xs 256GB cũ,https://didongviet.vn/iphone-xs-256gb-like-new,10390000,https://didongviet.vn/pub/media/catalog/product//i/p/iphone-xs-max_8.jpg,"Màu xám, Vàng (Gold), Màu bạc","Công nghệ màn hình: Super AMOLED, Độ phân giải: 1125 x 2436 pixels, Màn hình rộng: 5.8 inches","Độ phân giải: 12 MP, f/1.8, 28mm, 1.4µm, OIS, PDAF và 12 MP, f/2.4, 52mm, 1.0µm, OIS, PDAF, 2x optical zoom, Quay phim: 2160p@24/30/60fps, 1080p@30/60/120/240fps, HDR, stereo sound rec., Đèn Flash: 4 đèn LED (2 tông màu), Chụp ảnh nâng cao: Điều chỉnh khẩu độ, A.I Camera, Chế độ chụp ban đêm (ánh sáng yếu), Chế độ Slow Motion, Chụp ảnh xóa phông, Zoom quang học, Tự động lấy nét, Chạm lấy nét, Nhận diện khuôn mặt, HDR, Panorama, Chống rung quang học (OIS)","Độ phân giải: 7 MP, f/2.2, Videocall: Có, Thông tin khác: Nhận diện khuôn mặt, Quay video Full HD, Selfie ngược sáng HDR","Hệ điều hành: iOS 12, Chipset (hãng SX CPU): Apple A12 Bionic, Tốc độ CPU: Hexa-core, Chip đồ họa (GPU): Apple GPU 4 nhân","RAM: 4 GB, Bộ nhớ trong: 256 GB","Mạng di động: Hỗ trợ 4G, Wifi: Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot, GPS: A-GPS, GLONASS, GALILEO, QZSS, Bluetooth: 5.0, A2DP, LE, Cổng kết nối/sạc: Lightning, Kết nối khác: NFC, OTG","Dung lượng pin: 2658 mAh, Loại pin: Pin chuẩn Li-Ion, Công nghệ pin: Tiết kiệm pin, Sạc pin nhanh, Sạc pin không dây"
iPhone Xs Max 64GB cũ,https://didongviet.vn/iphone-xs-max-64gb-like-new,12190000,https://didongviet.vn/pub/media/catalog/product//i/p/iphone-xs-max-64gb-like-new_2.jpg,"Màu đen, Màu bạc, Gold","Công nghệ màn hình: OLED, Độ phân giải: 1242 x 2688 pixels, Màn hình rộng: 6.5 inches","Độ phân giải: 12 MP, f/1.8, 28mm, 1.4µm, OIS, PDAF và 12 MP, f/2.4, 52mm, 1.0µm, OIS, PDAF, 2x optical zoom, Quay phim: 2160p@24/30/60fps, 1080p@30/60/120/240fps, HDR, stereo sound rec., Đèn Flash: 4 đèn LED (2 tông màu), Chụp ảnh nâng cao: Điều chỉnh khẩu độ, A.I Camera, Chế độ chụp ban đêm (ánh sáng yếu), Chế độ Slow Motion, Chụp ảnh xóa phông, Zoom quang học, Tự động lấy nét, Chạm lấy nét, Nhận diện khuôn mặt, HDR, Panorama, Chống rung quang học (OIS)","Độ phân giải: 7 MP, f/2.2, Videocall: Có, Thông tin khác: Nhận diện khuôn mặt, Quay video Full HD, Selfie ngược sáng HDR","Hệ điều hành: iOS 12, Chipset (hãng SX CPU): Apple A12 Bionic, Tốc độ CPU: 2 nhân 2.5 GHz Vortex & 4 nhân 1.6 GHz Tempest, Chip đồ họa (GPU): Apple GPU 4 nhân","RAM: 4 GB, Bộ nhớ trong: 64 GB, Bộ nhớ còn lại (khả dụng): Khoảng 57 GB, Thẻ nhớ ngoài: Không","Mạng di động: Hỗ trợ 4G, SIM: Nano SIM & eSIM, Wifi: Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi hotspot, GPS: A-GPS, GLONASS, Bluetooth: LE, A2DP, v5.0, Cổng kết nối/sạc: Lightning, Kết nối khác: NFC, OTG","Dung lượng pin: 3174 mAh, Loại pin: Pin chuẩn Li-Ion, Công nghệ pin: Tiết kiệm pin, Sạc pin nhanh, Sạc pin không dây"
iPhone Xs Max 256GB cũ,https://didongviet.vn/iphone-xs-max-256gb-like-new,13390000,https://didongviet.vn/pub/media/catalog/product//i/p/iphone-xs-max-didongviet_15.jpg,"Màu xám, Màu bạc, Gold","Công nghệ màn hình: Super AMOLED, Độ phân giải: 1242 x 2688 pixels, Màn hình rộng: 6.5 inches","Độ phân giải: 12 MP, f/1.8, 28mm, 1.4µm, OIS, PDAF và 12 MP, f/2.4, 52mm, 1.0µm, OIS, PDAF, 2x optical zoom, Quay phim: 2160p@24/30/60fps, 1080p@30/60/120/240fps, HDR, stereo sound rec., Đèn Flash: 4 đèn LED (2 tông màu), Chụp ảnh nâng cao: Điều chỉnh khẩu độ, A.I Camera, Chế độ chụp ban đêm (ánh sáng yếu), Chế độ Slow Motion, Chụp ảnh xóa phông, Zoom quang học, Tự động lấy nét, Chạm lấy nét, Nhận diện khuôn mặt, HDR, Panorama, Chống rung quang học (OIS)","Độ phân giải: 7 MP, f/2.2, Videocall: Có, Thông tin khác: Nhận diện khuôn mặt, Quay video Full HD, Selfie ngược sáng HDR","Hệ điều hành: iOS 12, Chipset (hãng SX CPU): Apple A12 Bionic, Tốc độ CPU: Hexa-core, Chip đồ họa (GPU): Apple GPU 4 nhân","RAM: 4 GB, Bộ nhớ trong: 256 GB","Mạng di động: Hỗ trợ 4G, Wifi: Wi-Fi 802.11 b/g/n, Wi-Fi Direct, Wi-Fi hotspot, GPS: A-GPS, GLONASS, Bluetooth: LE, A2DP, v5.0, Cổng kết nối/sạc: Lightning, Jack tai nghe: Lightning, Kết nối khác: NFC, OTG","Dung lượng pin: 3174 mAh, Loại pin: Pin chuẩn Li-Ion, Công nghệ pin: Tiết kiệm pin, Sạc pin nhanh, Sạc pin không dây"
iPhone 7 128GB cũ,https://didongviet.vn/iphone-7-128gb-quoc-te-like-new,4590000,https://didongviet.vn/pub/media/catalog/product//i/p/iphone-7-like-new-vang-viendidong_1.jpg,"Màu trắng, Màu hồng, Đen bóng, Màu đỏ, Vàng (Gold), Đen nhám","Công nghệ màn hình: LED-backlit IPS LCD, Độ phân giải: HD (1334 x 750 Pixels), Màn hình rộng: 4.7 inch, Mặt kính cảm ứng: Kính oleophobic (ion cường lực)","Độ phân giải: 12 MP, Quay phim: Quay phim 4K 2160p@30fps, Đèn Flash: 4 đèn LED (2 tông màu), Chụp ảnh nâng cao: Tự động lấy nét, Chạm lấy nét, Nhận diện khuôn mặt, HDR, Panorama, Chống rung quang học (OIS)","Độ phân giải: 7 MP, Videocall: Hỗ trợ VideoCall thông qua ứng dụng, Thông tin khác: Selfie ngược sáng HDR, Tự động lấy nét, Quay video Full HD, Nhận diện khuôn mặt, Retina Flash, Panorama","Hệ điều hành: iOS 10, Chipset (hãng SX CPU): Apple A10 Fusion 4 nhân 64-bit, Tốc độ CPU: 2.3 GHz, Chip đồ họa (GPU): Chip đồ họa 6 nhân","RAM: 2 GB, Bộ nhớ trong: 128 GB","Mạng di động: 3G, 4G LTE Cat 9, SIM: 1 Nano SIM, Wifi: Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi hotspot, GPS: A-GPS, GLONASS, Bluetooth: v4.2, A2DP, LE, Cổng kết nối/sạc: Lightning, Jack tai nghe: Không, Kết nối khác: Air Play, NFC, OTG, HDMI","Dung lượng pin: 1960 mAh, Loại pin: Pin chuẩn Li-Ion, Công nghệ pin: Tiết kiệm pin"
iPhone 7 Plus 32GB cũ,https://didongviet.vn/iphone-7-plus-32gb-ll-a-quoc-te,5790000,https://didongviet.vn/pub/media/catalog/product//i/p/iphone-7-plus_3.jpg,"Màu trắng, Màu hồng, Đen bóng, Vàng (Gold), Đen nhám","Công nghệ màn hình: IPS LCD, Độ phân giải: Full HD (1080 x 1920 pixels), Màn hình rộng: 5,5inch, Mặt kính cảm ứng: Kính oleophobic (ion cường lực)","Độ phân giải: 2 camera 12 MP, Quay phim: Quay phim 4K 2160p@30fps, Đèn Flash: 4 đèn LED (2 tông màu), Chụp ảnh nâng cao: Tự động lấy nét, Chạm lấy nét, Nhận diện khuôn mặt, HDR, Panorama, Chống rung quang học (OIS)","Độ phân giải: 7 MP, Videocall: Hỗ trợ VideoCall thông qua ứng dụng, Thông tin khác: Tự động lấy nét, Nhận diện khuôn mặt, Quay video Full HD, Selfie ngược sáng HDR","Hệ điều hành: iOS 10, Chipset (hãng SX CPU): Apple A10 Fusion, Tốc độ CPU: 4 nhân 64-bit, Chip đồ họa (GPU): Chip đồ họa 6 nhân","RAM: 3GB, Bộ nhớ trong: 32GB, Bộ nhớ còn lại (khả dụng): Khoảng 28GB, Thẻ nhớ ngoài: Không","Mạng di động: 3G, 4G LTE Cat 9, SIM: 1 Nano SIM, Wifi: Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi hotspot, GPS: A-GPS, GLONASS, Bluetooth: v4.2, A2DP, LE, Cổng kết nối/sạc: Lightning, Jack tai nghe: Không, Kết nối khác: NFC, Air Play, OTG, HDMI","Dung lượng pin: 2900 mAh, Loại pin: Pin chuẩn Li-Ion, Công nghệ pin: Tiết kiệm pin"
iPhone 7 Plus 128GB cũ,https://didongviet.vn/iphone-7-plus-128gb-ll-a-quoc-te,6590000,https://didongviet.vn/pub/media/catalog/product//i/p/iphone-7-plus-128gb_5.jpg,"Màu hồng, Màu bạc, Đen bóng, Màu đỏ, Vàng (Gold), Đen nhám","Công nghệ màn hình: IPS LCD, Độ phân giải: Full HD (1080 x 1920 pixels), Màn hình rộng: 5,5inch, Mặt kính cảm ứng: Kính oleophobic (ion cường lực)","Độ phân giải: 2 camera 12 MP, Quay phim: Quay phim 4K 2160p@30fps, Đèn Flash: 4 đèn LED (2 tông màu), Chụp ảnh nâng cao: Tự động lấy nét, Chạm lấy nét, Nhận diện khuôn mặt, HDR, Panorama, Chống rung quang học (OIS)","Độ phân giải: 7 MP, Videocall: Hỗ trợ VideoCall thông qua ứng dụng, Thông tin khác: Tự động lấy nét, Nhận diện khuôn mặt, Quay video Full HD, Selfie ngược sáng HDR","Hệ điều hành: iOS 10, Chipset (hãng SX CPU): Apple A10 Fusion, Tốc độ CPU: 4 nhân 64-bit, Chip đồ họa (GPU): Chip đồ họa 6 nhân","RAM: 3GB, Bộ nhớ trong: 128GB, Thẻ nhớ ngoài: Không","Mạng di động: 3G, 4G LTE Cat 9, SIM: 1 Nano SIM, Wifi: Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi hotspot, GPS: A-GPS, GLONASS, Bluetooth: v4.2, A2DP, LE, Cổng kết nối/sạc: Lightning, Jack tai nghe: Không, Kết nối khác: NFC, Air Play, OTG, HDMI","Dung lượng pin: 2900 mAh, Loại pin: Pin chuẩn Li-Ion, Công nghệ pin: Tiết kiệm pin"
iPhone 7 Plus 256GB cũ,https://didongviet.vn/iphone-7-plus-256gb-ll-a-quoc-te-like-new,7190000,https://didongviet.vn/pub/media/catalog/product//i/p/iphone-7-plus-256gb-ll-a-quoc-te-vang-didongviet_2_1_1.jpg,"Màu trắng, Màu hồng, Đen bóng, Màu đỏ, Vàng (Gold), Đen nhám","Công nghệ màn hình: IPS LCD, Độ phân giải: Full HD (1080 x 1920 pixels), Màn hình rộng: 5,5inch, Mặt kính cảm ứng: Kính oleophobic (ion cường lực)","Độ phân giải: 2 camera 12 MP, Quay phim: Quay phim 4K 2160p@30fps, Đèn Flash: 4 đèn LED (2 tông màu), Chụp ảnh nâng cao: Tự động lấy nét, Chạm lấy nét, Nhận diện khuôn mặt, HDR, Panorama, Chống rung quang học (OIS)","Độ phân giải: 7 MP, Videocall: Hỗ trợ VideoCall thông qua ứng dụng, Thông tin khác: Tự động lấy nét, Nhận diện khuôn mặt, Quay video Full HD, Selfie ngược sáng HDR","Hệ điều hành: iOS 10, Chipset (hãng SX CPU): Apple A10 Fusion, Tốc độ CPU: 4 nhân 64-bit, Chip đồ họa (GPU): Chip đồ họa 6 nhân","RAM: 3GB, Bộ nhớ trong: 256GB, Thẻ nhớ ngoài: Không","Mạng di động: 3G, 4G LTE Cat 9, SIM: 1 Nano SIM, Wifi: Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi hotspot, GPS: A-GPS, GLONASS, Bluetooth: v4.2, A2DP, LE, Cổng kết nối/sạc: Lightning, Jack tai nghe: Không, Kết nối khác: NFC, Air Play, OTG, HDMI","Dung lượng pin: 2900 mAh, Loại pin: Pin chuẩn Li-Ion, Công nghệ pin: Tiết kiệm pin"
iPhone 8 64GB cũ,https://didongviet.vn/iphone-8-64gb-like-new,4990000,https://didongviet.vn/pub/media/catalog/product//8/-/8-min.jpg,"Màu xám, Màu trắng, Màu đỏ, Vàng (Gold)","Công nghệ màn hình: IPS LCD, Độ phân giải: 750 x 1334 pixels, Màn hình rộng: 4.7 inches","Độ phân giải: 12 MP (f/1.8, 28mm), phase detection autofocus, OIS, quad-LED dual-tone flash, Quay phim: 2160p@24/30/60fps, 1080p@30/60/120/240fps, Đèn Flash: Có","Độ phân giải: 7 MP, f/2.2","Hệ điều hành: iOS 11, Chipset (hãng SX CPU): Apple A11 Bionic, Tốc độ CPU: Hexa-core (2x Monsoon + 4x Mistral)","RAM: 2 GB, Bộ nhớ trong: 64 GB","Wifi: Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot, GPS: Yes, with A-GPS, GLONASS, GALILEO, QZSS, Bluetooth: 5.0, A2DP, LE",Dung lượng pin: 1821 mAh
iPhone 8 Plus 64GB cũ,https://didongviet.vn/iphone-8-plus-64gb-ll-a-quoc-te-cu-like-new,7390000,https://didongviet.vn/pub/media/catalog/product//8/p/8p-min_1.jpg,"Màu xám, Màu trắng, Vàng (Gold), Màu đỏ","Công nghệ màn hình: IPS LCD, Độ phân giải: Full HD (1080 x 1920 pixels), Màn hình rộng: 5.5"", Mặt kính cảm ứng: Kính oleophobic (ion cường lực)","Độ phân giải: 2 camera 12 MP, Quay phim: Quay phim 4K 2160p@60fps, Đèn Flash: 4 đèn LED (2 tông màu), Chụp ảnh nâng cao: Lấy nét dự đoán, Chụp ảnh xóa phông, Tự động lấy nét, Chạm lấy nét, Nhận diện khuôn mặt, HDR, Panorama, Chống rung quang học (OIS)","Độ phân giải: 7 MP, Videocall: Có, Thông tin khác: Camera góc rộng, Selfie ngược sáng HDR, Nhận diện khuôn mặt, Quay video Full HD","Hệ điều hành: iOS 11, Chipset (hãng SX CPU): Apple A11 Bionic, Chip đồ họa (GPU): Apple GPU (three-core graphics)","RAM: 3 GB, Bộ nhớ trong: 64 GB, Bộ nhớ còn lại (khả dụng): Đang cập nhật, Thẻ nhớ ngoài: Không","Mạng di động: 3G, 4G LTE Cat 16, SIM: 1 Nano SIM, Wifi: Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi hotspot, GPS: A-GPS, GLONASS, Bluetooth: v5.0, A2DP, LE, EDR, Cổng kết nối/sạc: Lightning, Jack tai nghe: Không, Kết nối khác: NFC, OTG","Dung lượng pin: 2691 mAh, Loại pin: Pin chuẩn Li-Ion, Công nghệ pin: Sạc pin nhanh, Sạc pin không dây, Tiết kiệm pin"
iPhone 8 Plus 256GB cũ,https://didongviet.vn/iphone-8-plus-256gb-ll-a-quoc-te-like-new,8990000,https://didongviet.vn/pub/media/catalog/product//i/p/iphone-8-plus-didongviet_1_4.jpg,"Màu xám, Màu đỏ, Vàng (Gold), Màu bạc","Công nghệ màn hình: IPS LCD, Độ phân giải: Full HD (1080 x 1920 pixels), Màn hình rộng: 5.5"", Mặt kính cảm ứng: Kính oleophobic (ion cường lực)","Độ phân giải: 2 camera 12 MP, Quay phim: Quay phim 4K 2160p@60fps, Đèn Flash: 4 đèn LED (2 tông màu), Chụp ảnh nâng cao: Lấy nét dự đoán, Chụp ảnh xóa phông, Tự động lấy nét, Chạm lấy nét, Nhận diện khuôn mặt, HDR, Panorama, Chống rung quang học (OIS)","Độ phân giải: 7 MP, Videocall: Có, Thông tin khác: Camera góc rộng, Selfie ngược sáng HDR, Nhận diện khuôn mặt, Quay video Full HD","Hệ điều hành: iOS 11, Chipset (hãng SX CPU): Apple A11 Bionic, Chip đồ họa (GPU): Apple GPU (three-core graphics)","RAM: 3 GB, Bộ nhớ trong: 256 GB, Bộ nhớ còn lại (khả dụng): Đang cập nhật, Thẻ nhớ ngoài: Không","Mạng di động: 3G, 4G LTE Cat 16, SIM: 1 Nano SIM, Wifi: Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi hotspot, GPS: A-GPS, GLONASS, Bluetooth: v5.0, A2DP, LE, EDR, Cổng kết nối/sạc: Lightning, Jack tai nghe: Không, Kết nối khác: NFC, OTG","Dung lượng pin: 2691 mAh, Loại pin: Pin chuẩn Li-Ion, Công nghệ pin: Sạc pin nhanh, Sạc pin không dây, Tiết kiệm pin"
