category,name,url,price,image,color,screen type,rear camera,front camera,chipset,ram,internal memory (rom)
nokia,điện thoại nokia 5 - màu xanh nk1053bl,https://pico.vn/35977/dien-thoai-di-dong-nokia-5-blue--ta1053.html,1990000,https://cdn.pico.vn/product/35977/267607_nokia-5-blue-ebuy.jo-1-900x900.jpg,android 7.1,ips lcd,13 mp,8 mp,qualcomm snapdragon 430 8 nhân 64 bit,2 gb,16gb
nokia,điện thoại nokia 5 nk1053c - màu đồng,https://pico.vn/36022/dien-thoai-di-dong-nokia-5-copper--dong---ta1053.html,1990000,https://cdn.pico.vn/product/36022/268308_nokia-5-copper-ebuy.jo-1-900x900.jpg,android 7.1,ips lcd,13 mp,8 mp,qualcomm snapdragon 430 8 nhân 64 bit,2 gb,16gb
nokia,điện thoại nokia 5 bạc,https://pico.vn/35882/dien-thoai-di-dong-nokia-5-silver--ta1053.html,1990000,https://cdn.pico.vn/product/35882/265687_nokia-5silverfront.jpg,android 7.1,ips lcd,13 mp,8 mp,qualcomm snapdragon 430 8 nhân 64 bit,2 gb,16 gb
nokia,điện thoại di động nokia 225 bright green,https://pico.vn/25405/dien-thoai-di-dong-nokia-225-bright-green.html,999000,https://cdn.pico.vn/product/25405/274111_1.jpg,nan,lcd,2.0 mp,nan,nan,nan,nan
samsung,điện thoại samsung galaxy a5 2017,https://pico.vn/34685/dien-thoai-di-dong-samsung-a520--galaxy-a5-2017.html,1990000,https://cdn.pico.vn/product/34685/274877_ssa520b.jpg,android 6.0,super amoled,16 mp,16 mp,exynos 7880,3 gb,32 gb
nokia,điện thoại nokia 150 ta-1235 ds vn black - model 2020,https://pico.vn/41541/dien-thoai-di-dong-nokia-150-ta1235-ds-vn-black--model-2020.html,649000,https://cdn.pico.vn/product/41541/359711_untitled-1.jpg,nan,tft,vga (480 x 640 pixels),nan,nan,nan,nan
nokia,điện thoại nokia 150 ta-1235 ds vn red - model 2020,https://pico.vn/41540/dien-thoai-di-dong-nokia-150-ta1235-ds-vn-red--model-2020.html,649000,https://cdn.pico.vn/product/41540/359719_untitled-1.jpg,nan,tft,vga (480 x 640 pixels),nan,nan,nan,nan
samsung,"điện thoại samsung galaxy note 20 xám ( sm-n980f/ds, 256gb )",https://pico.vn/41532/dien-thoai-di-dong-samsung-smn980fds-256gb-xam--galaxy-note-20.html,21990000,https://cdn.pico.vn/product/41532/359571_sm-n980981galaxynote20frontpenmysticgray200609.jpg,android 10,"super amoled plus 6.7 inch,","sau: chính 64 mp & phụ 12 mp, 12 mp,",trước :10 mp,"exynos 990 8 nhân 64-bit, ram 8gb",ram 8gb,"256 gb,"
samsung,"điện thoại samsung galaxy note 20 đồng ( sm-n980f/ds, 256gb )",https://pico.vn/41531/dien-thoai-di-dong-samsung-smn980fds-256gb-dong--galaxy-note-20.html,21990000,https://cdn.pico.vn/product/41531/359590_sm-n980981galaxynote20frontpenmysticbronze200609.jpg,android 10,"super amoled plus 6.7 inch,","sau: chính 64 mp & phụ 12 mp, 12 mp,",trước 10mp,"exynos 990 8 nhân 64-bit, ram 8gb",ram 8gb,"256 gb,"
samsung,"điện thoại samsung galaxy note 20 xanh ( sm-n980f/ds, 256gb )",https://pico.vn/41530/dien-thoai-di-dong-samsung-smn980fds-256gb-xanh--galaxy-note-20.html,21990000,https://cdn.pico.vn/product/41530/359609_sm-n980981galaxynote20frontpenmysticgreen200620.jpg,24 tháng,"super amoled plus 6.7 inch,","sau: chính 64 mp & phụ 12 mp, 12 mp,",trước :10 mp,"exynos 990 8 nhân 64-bit, ram 8gb",ram 8 gb,"256 gb,"
samsung,samsung galaxy note 20 ultra 5g 256gb đồng,https://pico.vn/41529/dien-thoai-di-dong-samsung-smn986bds-256gb-dong--galaxy-note-20-ultra-5g.html,32990000,https://cdn.pico.vn/product/41529/359656_sm-n985986galaxynote20ultrafrontpenmysticbronze200605.jpg,android 10,"dynamic amoled 2x, 6.9"", quad hd+ (2k+)","chính 108 mp & phụ 12 mp, 12 mp, cảm biến laser af,",10mp,exynos 990 8 nhân 64-bit,12gb,"256 gb, hỗ trợ thẻ nhớ microsd 1tb"
samsung,samsung galaxy note 20 ultra 256gb trắng,https://pico.vn/41528/dien-thoai-di-dong-samsung-smn985fds-256gb-trang--galaxy-note-20-ultra.html,27490000,https://cdn.pico.vn/product/41528/359675_sm-n985986galaxynote20ultrafrontpenmysticwhite200529.jpg,android 10,"dynamic amoled 2x, 6.9"", quad hd+ (2k+)","108mp + 12mp + 12mp, công nghệ cảm biến laser af
quay phim 8k",10mp,exynos 990 8 nhân 64-bit,8 gb,"256 gb, hỗ trợ thẻ nhớ microsd 1tb"
samsung,samsung galaxy note 20 ultra 256gb đồng,https://pico.vn/41527/dien-thoai-di-dong-samsung-smn985fds-256gb-dong--galaxy-note-20-ultra.html,27490000,https://cdn.pico.vn/product/41527/359643_sm-n985986galaxynote20ultrafrontpenmysticbronze200605.jpg,android 10,"dynamic amoled 2x, 6.9"", quad hd+ (2k+)","108mp + 12mp + 12mp, công nghệ cảm biến laser af
quay phim 8k",10mp,exynos 990 8 nhân 64-bit,8 gb,"256 gb, hỗ trợ thẻ nhớ microsd 1tb"
samsung,samsung galaxy note 20 ultra 256gb đen,https://pico.vn/41526/dien-thoai-di-dong-samsung-smn985fds-256gb-den--galaxy-note-20-ultra.html,27490000,https://cdn.pico.vn/product/41526/359626_sm-n985986galaxynote20ultrafrontpenmysticblack200529.jpg,android 10,"dynamic amoled 2x, 6.9"", quad hd+ (2k+)","108mp + 12mp + 12mp, công nghệ cảm biến laser af
quay phim 8k",10mp,exynos 990 8 nhân 64-bit,8 gb,"256 gb, hỗ trợ thẻ nhớ microsd 1tb"
samsung,samsung galaxy a51 128gb bạc,https://pico.vn/41502/dien-thoai-di-dong-samsung-a515fdsn-128gb-bac--galaxy-a51.html,6990000,https://cdn.pico.vn/product/41502/359149_untitled-1.jpg,android 9.0 (pie),super amoled,"chính 48 mp & phụ 12 mp, 5 mp, 5 mp",32 mp,nan,6 gb,128 gb
vivo,điện thoại vivo y11 (3+32gb) xanh ngọc trai,https://pico.vn/41249/dien-thoai-di-dong-vivo-1906-y11-332gb-xanh-ngoc-trai.html,2790000,https://cdn.pico.vn/product/41249/355786_vivo-y11-xanh-da-troi-nhat-1-org.jpg,android 9.0 (pie),ips lcd hd+,camera sau: chính 13 mp & phụ 2 m.,camera trước: 8 mp,qualcomm 439,ram 3gb,32gb
vivo,điện thoại vivo y30( 4+128gb) xanh dương,https://pico.vn/41248/dien-thoai-di-dong-vivo-1938y30-4128gb-xanh-duong.html,3290000,https://cdn.pico.vn/product/41248/355773_untitled-1.jpg,android 10,ips lcd hd+,"camera sau: chính 13 mp & phụ 8mp,2 mp,2mp.",camera trước: 8 mp,mediatek helio p35,ram 4 gb,128gb
vivo,điện thoại vivo y30( 4+128gb) trắng,https://pico.vn/41247/dien-thoai-di-dong-vivo-1938y30-4128gb-trang.html,3290000,https://cdn.pico.vn/product/41247/355766_untitled-1.jpg,android 10,ips lcd hd+,"camera sau: chính 13 mp & phụ 8mp,2 mp,2mp.",camera trước: 8 mp,mediatek helio p35,ram 4 gb,128gb
samsung,đtdđ samsung galaxy a21s 32gb đen,https://pico.vn/41242/dtdd-samsung-sma217fds-32gb-dengalaxy-a21s.html,3890000,https://cdn.pico.vn/product/41242/355873_untitled-1.jpg,android 10,tft,"chính 48 mp & phụ 8 mp, 2 mp, 2 mp",độ phân giải : 13.0 mp,nan,3 gb,32 gb
samsung,đtdđ samsung galaxy a21s 32gb xanh,https://pico.vn/41241/dtdd-samsung-sma217fds-32gb-xanhgalaxy-a21s.html,3890000,https://cdn.pico.vn/product/41241/355861_untitled-1.jpg,android 10,tft,"chính 48 mp & phụ 8 mp, 2 mp, 2 mp",độ phân giải : 13.0 mp,nan,3 gb,32 gb
vivo,điện thoại vivo v19( 8+128gb) đen thiên thạch (gleam black),https://pico.vn/41180/dien-thoai-di-dong-vivo-1933v19-8128gb-den-thien-thach-gleam-black.html,5990000,https://cdn.pico.vn/product/41180/355010_untitled-1.jpg,funtouch os 10 (dựa trên nền tảng android 10),super amoled,camera sau: 48mp+8mp+2mp+2mp,camera trước: 32mp+8mp,sdm 712,ram 8gb,128 gb
samsung,điện thoại samsung galaxy a11 32gb đen,https://pico.vn/41126/dtdd-samsung-sma115fds-32gb-dengalaxy-a11.html,2690000,https://cdn.pico.vn/product/41126/354270_untitled-1.jpg,android 10,pls tft lcd,"sau : 13mp, 5mp, 2mp (3 camera)",trước : 8 mp,snapdragon 450 8 nhân,ram 3gb,"32gb,"
samsung,điện thoại samsung galaxy a11 32gb xanh,https://pico.vn/41125/dtdd-samsung-sma115fds-32gb-xanhgalaxy-a11.html,2690000,https://cdn.pico.vn/product/41125/354257_untitled-1.jpg,android 10,pls tft lcd,"sau : 13mp, 5mp, 2mp (3 camera)",trước : 8 mp,snapdragon 450 8 nhân,ram 3gb,32gb
samsung,samsung galaxy a31 xanh 128gb,https://pico.vn/41124/dtdd-samsung-sma315fds-128gb-xanhgalaxy-a31.html,5690000,https://cdn.pico.vn/product/41124/354276_untitled-1.jpg,android 10,super amoled,"chính 48 mp & phụ 8 mp, 5 mp, 5 mp",20.0 mp,nan,6 gb,128 gb
samsung,samsung galaxy a31 trắng 128gb,https://pico.vn/41123/dtdd-samsung-sma315fds-128gb-tranggalaxy-a31.html,5690000,https://cdn.pico.vn/product/41123/354292_untitled-1.jpg,android 10,super amoled,"chính 48 mp & phụ 8 mp, 5 mp, 5 mp",20.0 mp,mediatek mt6768 8 nhân (helio p65),6 gb,128 gb
samsung,samsung galaxy a31 đen 128gb,https://pico.vn/41122/dtdd-samsung-sma315fds-128gb-dengalaxy-a31.html,5690000,https://cdn.pico.vn/product/41122/354285_untitled-1.jpg,android 10,super amoled,"chính 48 mp & phụ 8 mp, 5 mp, 5 mp",20.0 mp,nan,6 gb,128 gb
samsung,điện thoại samsung galaxy a71 128gb xanh,https://pico.vn/40782/dien-thoai-di-dong-samsung-a715-128gb-xanh--galaxy-a71.html,7490000,https://cdn.pico.vn/product/40782/349777_untitled-1.jpg,android 10.0,super amoled,"camera sau: 64 mp và 12 mp,5 mp,5mp (4 camera)",camera trước: 32 mp,snapdragon 730,8 gb,128 gb
samsung,điện thoại samsung galaxy a71 128gb đen,https://pico.vn/40781/dien-thoai-di-dong-samsung-a715-128gb-den--galaxy-a71.html,7490000,https://cdn.pico.vn/product/40781/349783_untitled-1.jpg,android 10.0,super amoled,"camera sau: 64 mp và 12 mp,5 mp,5mp (4 camera)",camera trước: 32 mp,snapdragon 730,8 gb,"128 gb,"
iphone,điện thoại iphone 11 pro gold 256gb-vie-mwc92vn/a + kit viettel,https://pico.vn/40777/dien-thoai-di-dong-iphone-11-pro-gold-256gbviemwc92vna--kit-viettel.html,28990000,https://cdn.pico.vn/product/40777/349575_untitled-1.jpg,ios 13,oled super retina xdr,3 camera 12 mp,12 mp,apple a13 bionic 6 nhân,ram 4 gb,256 gb
nokia,điện thoại di động nokia 105 ta- 1174 ds vn blue 2 sim,https://pico.vn/40752/dien-thoai-di-dong-nokia-105-ta1174-ds-vn-blue--2-sim.html,369000,https://cdn.pico.vn/product/40752/349050_img4028.jpg,nan,tft qqvga,nan,nan,nan,nan,nan
nokia,điện thoại di động nokia 105 ta-1174 ds vn black 2 sim,https://pico.vn/40751/dien-thoai-di-dong-nokia-105-ta1174-ds-vn-black--2-sim.html,369000,https://cdn.pico.vn/product/40751/349060_img4033.jpg,nan,tft qqvga,nan,nan,nan,nan,nan
iphone,điện thoại iphone 11 pro space gray 256gb-vie-mwc72vn/a + kit viettel,https://pico.vn/40708/dien-thoai-di-dong-iphone-11-pro-space-gray-256gbviemwc72vna--kit-viettel.html,28990000,https://cdn.pico.vn/product/40708/347975_344613iphone-11-pro-max-space-select-2019.jpg,ios 13,"super retina xdr, màn oled",3 camera 12 mp,trước 12mp,apple a13 bionic 6 nhân,ram 4 gb,256 gb
vivo,điện thoại vivo s1 pro( 8+128gb) trắng,https://pico.vn/40660/dien-thoai-di-dong-vivo-1920s1-pro-8128gb-trang-thoi-thuong-fancy-sky.html,4890000,https://cdn.pico.vn/product/40660/347041_untitled-1.jpg,android 9.0 (pie),6.38 inch super amoled full hd+ (1080 x 2340 pixels),48 mp+ 8 mp+ 2 mp+ 2 mp,32.0mp,snapdragon 665,8 gb,128 gb
iphone,iphone 11 pro silver 64 gb,https://pico.vn/40653/dien-thoai-di-dong-iphone-11-pro-silver-64gbviemwc32vna--kit-viettel.html,24490000,https://cdn.pico.vn/product/40653/346854_iphone-11-pro-max-silver-select-2019.jpg,ios 13,oled super retina xdr,3 camera 12 mp,12 mp,apple a13 bionic 6 nhân,4 gb,64 gb
samsung,samsung galaxy a51 128gb trắng,https://pico.vn/40652/dien-thoai-di-dong-samsung-a515fdsn-128gbtrang--galaxy-a51.html,6990000,https://cdn.pico.vn/product/40652/346802_untitled-6.jpg,android 9.0 (pie),super amoled,"chính 48 mp & phụ 12 mp, 5 mp, 5 mp",32 mp,nan,6 gb,128 gb
samsung,samsung galaxy a51 128gb đen,https://pico.vn/40651/dien-thoai-di-dong-samsung-a515fdsn-128gb-den--galaxy-a51.html,6990000,https://cdn.pico.vn/product/40651/346790_untitled-6.jpg,android 9.0 (pie),super amoled,"chính 48 mp & phụ 12 mp, 5 mp, 5 mp",32 mp,nan,6 gb,128 gb
samsung,samsung galaxy a51 128gb xanh,https://pico.vn/40629/dien-thoai-di-dong-samsung-a515fdsn-128gb-xanh--galaxy-a51.html,6990000,https://cdn.pico.vn/product/40629/346745_untitled-1.jpg,android 9.0 (pie),super amoled,"chính 48 mp & phụ 12 mp, 5 mp, 5 mp",32 mp,nan,6 gb,128 gb
iphone,iphone 11 pro max space gray 256gb,https://pico.vn/40575/dien-thoai-di-dong-iphone-11-pro-max-space-gray-256gbviemwhj2vna--kit-viettel.html,30990000,https://cdn.pico.vn/product/40575/345552_untitled-1.jpg,ios 13,oled super retina xdr,3 camera 12 mp,12 mp,apple a13 bionic,4 gb,256 gb
iphone,iphone 11 pro max midnight green 64gb,https://pico.vn/40534/dien-thoai-di-dong-iphone-11-pro-max-midnight-green-64gbviemwhh2vna--kit-viettel.html,26990000,https://cdn.pico.vn/product/40534/344654_iphone-11-pro-max-midnight-green-select-2019.jpg,nan,oled super retina xdr,3 camera 12 mp,12 mp,apple a13 bionic,4 gb,64 gb
iphone,iphone 11 pro max silver 64gb,https://pico.vn/40533/dien-thoai-di-dong-iphone-11-pro-max-silver-64gbviemwhf2vna--kit-viettel.html,26990000,https://cdn.pico.vn/product/40533/344655_iphone-11-pro-max-silver-select-2019.jpg,nan,oled super retina xdr,3 camera 12 mp,12 mp,apple a13 bionic,4 gb,64 gb
iphone,điện thoại iphone 11 pro midnight green 64gb-vie-mwc62vn/a + kit viettel,https://pico.vn/40530/dien-thoai-di-dong-iphone-11-pro-midnight-green-64gbviemwc62vna--kit-viettel.html,24490000,https://cdn.pico.vn/product/40530/344615_iphone-11-pro-max-midnight-green-select-2019.jpg,ios 13,oled super retina xdr,3 camera 12 mp,trước 12mp,apple a13 bionic 6 nhân,4 gb,rom 64 gb
iphone,điện thoại iphone 11 pro gold 64gb-vie-mwc52vn/a + kit viettel,https://pico.vn/40529/dien-thoai-di-dong-iphone-11-pro-gold-64gbviemwc52vna--kit-viettel.html,24490000,https://cdn.pico.vn/product/40529/344614_iphone-11-pro-max-gold-select-2019.jpg,ios 13,oled super retina xdr,3 camera 12 mp,12 mp,apple a13 bionic 6 nhân,ram 4 gb,rom 64 gb
iphone,điện thoại iphone 11 pro space gray 64gb-vie-mwc22vn/a + kit viettel,https://pico.vn/40528/dien-thoai-di-dong-iphone-11-pro-space-gray-64gbviemwc22vna--kit-viettel.html,23990000,https://cdn.pico.vn/product/40528/344613_iphone-11-pro-max-space-select-2019.jpg,ios 13,oled super retina xdr,3 camera 12 mp,trước 12mp,apple a13 bionic 6 nhân,ram 4 gb,rom 64 gb
iphone,điện thoại iphone 11 pro midnight green 256gb-vie-mwcc2vn/a + kit viettel,https://pico.vn/40440/dien-thoai-di-dong-iphone-11-pro-midnight-green-256gbviemwcc2vna--kit-viettel.html,28990000,https://cdn.pico.vn/product/40440/342668_iphone11promg22.jpg,ios 13,oled super retina xdr,3 camera 12 mp,12 mp,apple a13 bionic,ram 4 gb,256 gb
vivo,điện thoại vivo y11 (3+32gb) xanh ngọc bích,https://pico.vn/40439/dien-thoai-di-dong-vivo-1906-y11-332gb-xanh-ngoc-bich.html,2790000,https://cdn.pico.vn/product/40439/342618_vivo-y11-xanh-duong-1-org.jpg,android 9.0 (pie),ips lcd hd+,camera sau: chính 13 mp & phụ 2 m.,camera trước: 8 mp,qualcomm 439,ram 3gb,32gb
vivo,điện thoại vivo y11 (3+32gb) đỏ san hô,https://pico.vn/40438/dien-thoai-di-dong-vivo-1906-y11-332gb-do-san-ho.html,2790000,https://cdn.pico.vn/product/40438/342627_untitled-2.jpg,android 9.0 (pie),ips lcd hd+,camera sau: chính 13 mp & phụ 2 m.,camera trước: 8 mp,qualcomm 439,ram 3gb,32gb
iphone,iphone 11 pro max midnight green 256gb,https://pico.vn/40434/dien-thoai-di-dong-iphone-11-pro-max-midnight-green-256gbviemwhm2vna--kit-viettel.html,30990000,https://cdn.pico.vn/product/40434/342652_iphone11promg22.jpg,ios 13,oled super retina xdr,3 camera 12 mp,12 mp,apple a13 bionic,4 gb,256 gb
iphone,iphone 11 pro max gold 256gb,https://pico.vn/40433/dien-thoai-di-dong-iphone-11-pro-max-gold-256gbviemwhl2vna--kit-viettel.html,30990000,https://cdn.pico.vn/product/40433/342635_iphone-11-pro-max-gold-select-2019.jpg,ios 13,oled super retina xdr,3 camera 12 mp,12 mp,apple a13 bionic,4 gb,256 gb
iphone,iphone 11 pro max silver 256gb,https://pico.vn/40432/dien-thoai-di-dong-iphone-11-pro-max-silver-256gbviemwhk2vna--kit-viettel.html,30990000,https://cdn.pico.vn/product/40432/342642_iphone-11-pro-max-silver-select-2019.jpg,ios 13,oled super retina xdr,3 camera 12 mp,12 mp,apple a13 bionic,4 gb,256 gb
iphone,iphone 11 pro max gold 64gb,https://pico.vn/40431/dien-thoai-di-dong-iphone-11-pro-max-gold-64gbviemwhg2vna--kit-viettel.html,26990000,https://cdn.pico.vn/product/40431/342631_iphone-11-pro-max-gold-select-2019.jpg,ios 13,oled super retina xdr,3 camera 12 mp,12 mp,apple a13 bionic,4 gb,64 gb
iphone,iphone 11 pro max space gray 64gb,https://pico.vn/40430/dien-thoai-di-dong-iphone-11-pro-max-space-gray-64gbviemwhd2vna--kit-viettel.html,26990000,https://cdn.pico.vn/product/40430/342613_iphone-11-pro-space-select-2019.jpg,ios 13,oled super retina xdr,3 camera 12 mp,12 mp,apple a13 bionic,4 gb,64 gb
nokia,điện thoại nokia 7.2 màu đen,https://pico.vn/40323/dien-thoai-di-dong-nokia-72-ta1196-ds-464-vn-charcoalmau-den.html,3990000,https://cdn.pico.vn/product/40323/340204_fb.jpg,android 9 pie (android one),ips lcd,sau : 48 mp + 5 mp + 8mp (3 camera),trước 20mp,snapdragon m660,4 gb,64gb
oppo,điện thoại oppo a9 2020 tím,https://pico.vn/40322/dien-thoai-di-dong-oppo-cph1937---a9-2020-tim.html,5490000,https://cdn.pico.vn/product/40322/340013_dd.jpg,"coloros 6.0.1, nền tảng android 9.0",tft lcd,"48 mp + 8 mp + 2 mp + 2 mp, 4 camera",16.0 mp,nan,8g,128 gb
oppo,điện thoại oppo a9 2020 xanh,https://pico.vn/40321/dien-thoai-di-dong-oppo-cph1937---a9-2020-xanh.html,4990000,https://cdn.pico.vn/product/40321/339997_dd.jpg,"coloros 6.0.1, nền tảng android 9.0",tft lcd,"48 mp + 8 mp + 2 mp + 2 mp, 4 camera",16.0 mp,nan,8g,"128 gb,"
nokia,điện thoại nokia 3.2 ta 3/32gb black,https://pico.vn/39550/dien-thoai-di-dong-nokia-32-ta1164-ds-332gb-vn-black.html,2590000,https://cdn.pico.vn/product/39550/325837_dien_thoai_di_dong_nokia_3.2_ta-1164_ds_332gb_vn_black.jpg,android 9 pie (android one),ips lcd,13.0 mp,5 mp,qualcomm snapdragon 429,3 gb,32 gb
nokia,điện thoại nokia 3.2 ta 2/16gb black,https://pico.vn/39549/dien-thoai-di-dong-nokia-32-ta1156-ds-216gb-vn-black.html,2190000,https://cdn.pico.vn/product/39549/325818_dien_thoai_di_dong_nokia_3.2_ta-1156_ds_216gb_vn_black.jpg,android 9 pie (android one),ips lcd,13.0 mp,5 mp,qualcomm snapdragon 429,2 gb,16 gb
nokia,điện thoại di động nokia 6.1 plus black,https://pico.vn/38472/dien-thoai-di-dong-nokia-61-plus-ta1116-ds-vn-black11drgb21a09.html,2990000,https://cdn.pico.vn/product/38472/301094_dien_thoai_di_dong_nokia_6.1_plus_ta-1116_ds_vn_black11drgb21a09.jpg,android one,ips lcd,16 mp + 5 mp,16mp,qualcom snapdragon 636,4gb,64 gb
nokia,điện thoại di động nokia 3.1 2018 blue,https://pico.vn/38135/dien-thoai-di-dong-nokia-31-2018--ta1063-ds-216-vn-blue.html,1490000,https://cdn.pico.vn/product/38135/298175_nk1063bl.jpg,android™ 8.0,cảm ứng,13 mp,8.0 mp,mediatek helio p10 8 nhân 64-bit,2 gb,16 gb
nokia,điện thoại nokia 8110 4g đen,https://pico.vn/37694/dien-thoai-di-dong-nokia-8110-4g--black.html,1290000,https://cdn.pico.vn/product/37694/293726_dien_thoai_di_dong_nokia_8110_4g_black.jpg,hđh smart feature do kaios cung cấp,qvga màn hình uốn cong,2 mp,có,"cpu msm8905 dual core 1,1 ghz",512 mb,4 gb
