name,url,price,ram,rom,image,category
oppo a15,https://viettelstore.vn/dien-thoai/oppo-a15-pid179083.html,3490000,3gb,32gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/1oppo-a15-bla-1.jpg,oppo
realme c20,https://viettelstore.vn/dien-thoai/realme-c20-pid180196.html,2490000,2gb,32gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/realme-c20-grey-1.jpg,realme
realme c15,https://viettelstore.vn/dien-thoai/realme-c15-pid161623.html,3690000,4 gb,64 gb (khả dụng 44gb),https://cdn1.viettelstore.vn/images/product/productimage/medium/realme%20c15-blu-1.jpg,realme
iphone 12 pro 256gb pacific blue,https://viettelstore.vn/dien-thoai/iphone-12-pro-256gb-pacific-blue-pid195989.html,28490000,6gb,256gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/1639163571111098101.jpeg,iphone
realme c12,https://viettelstore.vn/dien-thoai/realme-c12-pid154865.html,2990000,3gb,32gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/realme%20c12-blu-1.jpg,realme
samsung galaxy a32 4g,https://viettelstore.vn/dien-thoai/samsung-galaxy-a32-4g-pid183195.html,5990000,6 gb,128 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/samsung-galaxy-a32-blu-1.jpg,samsung
samsung galaxy s21+ 5g 8/128gb,https://viettelstore.vn/dien-thoai/samsung-galaxy-s21-pid149239.html,16990000,8gb,128gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/ss-galaxy-s21plus-purl-1.jpg,samsung
samsung galaxy s21 ultra 5g 12/128gb,https://viettelstore.vn/dien-thoai/samsung-galaxy-s21-ultra-5g-pid149240.html,22490000,12gb,128gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/ss-galaxy-s21ultr-whi-1.jpg,samsung
samsung galaxy a12,https://viettelstore.vn/dien-thoai/samsung-galaxy-a12-pid163063.html,3490000,4 gb,128 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/ss-a12-blu-1.jpg,samsung
vsmart live 4,https://viettelstore.vn/dien-thoai/vsmart-live-4-pid154473.html,4290000,6gb,64gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/18mths-vsmart%20live%204-blu-1.jpg,vsmart
vsmart active 3 6gb-64gb,https://viettelstore.vn/dien-thoai/vsmart-active-3-6gb-64gb-pid148014.html,3990000,6gb,64 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/1vsmart-active-3-6gb-64gb.jpg,vsmart
vsmart aris 6gb-64gb,https://viettelstore.vn/dien-thoai/vsmart-aris-6gb-64gb-pid156968.html,5990000,6gb,64gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/18mths-vsmart%20aris-bla-1.jpg,vsmart
vsmart joy 4 3gb/64gb,https://viettelstore.vn/dien-thoai/vsmart-joy-4-3gb-64gb-pid156997.html,3290000,3gb,64gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/18mths-vsmart%20joy%204-blac-1.jpg,vsmart
vsmart aris pro,https://viettelstore.vn/dien-thoai/vsmart-aris-pro-pid156969.html,8490000,8gb,128gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/18mths-vsmart%20aris%20pro-gree-1.jpg,vsmart
oppo a73,https://viettelstore.vn/dien-thoai/oppo-a73-pid181204.html,5490000,6gb,128gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/oppo-a73-oran-1.jpg,oppo
oppo a93,https://viettelstore.vn/dien-thoai/oppo-a93-pid157507.html,6490000,8gb,128gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/oppo-a93-bla-1.jpg,oppo
xiaomi redmi 9c 3/64gb,https://viettelstore.vn/dien-thoai/xiaomi-redmi-9c-3-64gb-pid153257.html,2690000,3gb,64gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/xiaomi-redmi-9c-grey-18th.jpg,xiaomi
samsung galaxy a72 8/256gb,https://viettelstore.vn/dien-thoai/samsung-galaxy-a72-pid183194.html,10990000,8gb,256gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/samsung-galaxy-a72-bla-1.jpg,samsung
samsung galaxy a52 8/128gb,https://viettelstore.vn/dien-thoai/samsung-galaxy-a52-pid183193.html,8490000,8gb,128 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/samsung-galaxy-a52-whi-1.jpg,samsung
oppo reno5,https://viettelstore.vn/dien-thoai/oppo-reno5-pid161676.html,8690000,8 gb,128 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/1oppo-reno5-silver-1.jpg,oppo
oppo reno5 5g,https://viettelstore.vn/dien-thoai/oppo-reno5-5g-pid182674.html,11990000,8gb,128gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/oppo-reno5-5g-sil-1.jpg,oppo
oppo a92,https://viettelstore.vn/dien-thoai/oppo-a92-pid150155.html,6490000,8 gb,128 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/a92-whi-1.jpg,oppo
oppo reno4 pro,https://viettelstore.vn/dien-thoai/oppo-reno4-pro-pid150780.html,11990000,8gb,256gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/1reno4-pro-whi-1.jpg,oppo
oppo reno4,https://viettelstore.vn/dien-thoai/oppo-reno4-pid150777.html,8490000,8gb,128gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/1reno4-blac-1.jpg,oppo
xiaomi mi 10t pro 5g 8/256gb,https://viettelstore.vn/dien-thoai/xiaomi-mi-10t-pro-5g-8-256gb-pid158176.html,11490000,8gb,256gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/lg-5g-xiaomi-mi-10t-pro-5g-8gb-128gb-bla-1.jpg,xiaomi
realme 6i,https://viettelstore.vn/dien-thoai/realme-6i-pid148548.html,4690000,4 gb,128 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/realme-6i--gre1.jpg,realme
xiaomi mi poco x3 nfc 6/128gb,https://viettelstore.vn/dien-thoai/xiaomi-mi-poco-x3-nfc-6-128gb-pid156663.html,5790000,6gb,128gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/18ths-mi%20poco%20x3%20nfc%206-128gb-grey-1.jpg,xiaomi
xiaomi mi 10t pro 5g 8/128gb,https://viettelstore.vn/dien-thoai/xiaomi-mi-10t-pro-5g-8-128gb-pid181171.html,10490000,8gb,128gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/xiaomi%20mi%2010t%20pro%205g%208gb-128gb-blu-1.jpg,xiaomi
realme 7i,https://viettelstore.vn/dien-thoai/realme-7i-pid157208.html,6090000,8gb,128gb/ khả dụng 113gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/realme%207i-blu-1.jpg,realme
vivo y1s,https://viettelstore.vn/dien-thoai/vivo-y1s-pid152260.html,2290000,2gb,32gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/vivo-y1s-blac-1.jpg,vivo
samsung galaxy note20,https://viettelstore.vn/dien-thoai/samsung-galaxy-note20-pid149233.html,19990000,8gb,256gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/care-ss-note20-mint-1.jpg,samsung
vivo y20,https://viettelstore.vn/dien-thoai/vivo-y20-pid155473.html,3990000,4gb,64gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/'vv%20y20-blu-1.jpg,vivo
xiaomi redmi 9c 2/32gb,https://viettelstore.vn/dien-thoai/xiaomi-redmi-9c-2-32gb-pid153256.html,2250000,2gb,32gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/xiaomi-redmi-9c-18th.jpg,xiaomi
vivo y30,https://viettelstore.vn/dien-thoai/vivo-y30-pid150090.html,4490000,4 gb,128 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/vivo-y30-xanh.jpg,vivo
xiaomi mi poco f2 pro 6/128gb,https://viettelstore.vn/dien-thoai/xiaomi-mi-poco-f2-pro-6-128gb-pid179853.html,9250000,6 gb,128 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/xiaomi-mi-poco-f2-pro-6-128gb.jpg,xiaomi
xiaomi mi poco f2 pro 8/256gb,https://viettelstore.vn/dien-thoai/xiaomi-mi-poco-f2-pro-8-256gb-pid179855.html,10250000,8 gb,256 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/xiaomi-mi-poco-f2-pro-8-6128gb.jpg,xiaomi
vivo y51 2020,https://viettelstore.vn/dien-thoai/vivo-y51-2020-pid179574.html,6290000,8 gb,128 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/vivo-y51-2020-sil-1.jpg,vivo
samsung galaxy a51,https://viettelstore.vn/dien-thoai/samsung-galaxy-a51-pid143394.html,6790000,6 gb,128 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/1.-a51_sliver.jpg,samsung
vivo v19,https://viettelstore.vn/dien-thoai/vivo-v19-pid147638.html,8990000,8gb,128gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/untitled-22060878237.jpg,vivo
vivo v20,https://viettelstore.vn/dien-thoai/vivo-v20-pid157476.html,8490000,8gb,128gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/2midnight%20jazz-1.jpg,vivo
vivo y19,https://viettelstore.vn/dien-thoai/vivo-y19-pid142292.html,4990000,6 gb,128 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/vivo%20y19-bla-1.jpeg,vivo
realme c11,https://viettelstore.vn/dien-thoai/realme-c11-pid152221.html,2490000,2gb,32gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/fsegfsdgsdfvsd.jpg,realme
xiaomi redmi 9 3/32gb,https://viettelstore.vn/dien-thoai/xiaomi-redmi-9-3-32gb-pid151041.html,3190000,3 gb,32 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/redmi-9-bla.jpg,xiaomi
nokia 215 4g,https://viettelstore.vn/dien-thoai/nokia-215-4g-pid162587.html,750000,64mb,128mb,https://cdn1.viettelstore.vn/images/product/productimage/medium/nokia%20215%204g-bla-1.jpg,nokia
nokia 3.4 (4gb-64gb),https://viettelstore.vn/dien-thoai/nokia-3-4-4gb-64gb-pid164068.html,3290000,4gb,64gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/nokia%203.4-pur-1.jpg,nokia
nokia 8000 4g,https://viettelstore.vn/dien-thoai/nokia-8000-4g-pid163005.html,1790000,512mb,4gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/nokia%208000%204g-1.jpg,nokia
vsmart joy 4 4gb/64gb,https://viettelstore.vn/dien-thoai/vsmart-joy-4-4gb-64gb-pid156998.html,3590000,4gb,64gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/18mths-vsmart-joy-4-blue-1.jpg,vsmart
oppo reno3,https://viettelstore.vn/dien-thoai/oppo-reno3-pid147069.html,6290000,8gb,128gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/viber_image_2020-05-05_11-56-36.jpg,oppo
vivo y50,https://viettelstore.vn/dien-thoai/vivo-y50-pid147642.html,6290000,8gb,128gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/y50-1.jpg,vivo
xiaomi redmi note 9 4/128gb,https://viettelstore.vn/dien-thoai/xiaomi-redmi-note-9-4-128gb-pid149980.html,3990000,4 gb,128 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/redmi-note-9-4-128-w.jpg,xiaomi
xiaomi redmi note 9s 4/64gb,https://viettelstore.vn/dien-thoai/xiaomi-redmi-note-9s-4-64gb-pid149001.html,4450000,4gb,64gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/redmi-note-9s--4-64-grey.jpg,xiaomi
masstel fami p20,https://viettelstore.vn/dien-thoai/masstel-fami-p20-pid154474.html,550000,32mb,32mb,https://cdn1.viettelstore.vn/images/product/productimage/medium/fami%20p20-bla-1.jpg,other
samsung galaxy a21s (3gb/32gb),https://viettelstore.vn/dien-thoai/samsung-galaxy-a21s-pid150081.html,3990000,3 gb,32 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/a21s-up%20anh%20nc4g.jpg,samsung
nokia 2.4,https://viettelstore.vn/dien-thoai/nokia-2-4-pid158002.html,2690000,2 gb,"32 gb; microsd, hỗ trợ tối đa 512 gb",https://cdn1.viettelstore.vn/images/product/productimage/medium/nokia%202.4-bla-1.jpg,nokia
vsmart active 3 4gb-64gb,https://viettelstore.vn/dien-thoai/vsmart-active-3-4gb-64gb-pid145005.html,3490000,4 gb,64 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/1vsmart-active-3-4gb-64gb.jpg,vsmart
xiaomi redmi note 9 3/64gb,https://viettelstore.vn/dien-thoai/xiaomi-redmi-note-9-3-64gb-pid154699.html,3650000,3gb,64gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/18th-redmi%20note%209%203-64gb-whi-1.jpg,xiaomi
masstel play 50,https://viettelstore.vn/dien-thoai/masstel-play-50-pid157516.html,500000,32mb,32mb,https://cdn1.viettelstore.vn/images/product/productimage/medium/masstel%20play%2050-bla-2.jpg,other
realme c3 3gb/32gb,https://viettelstore.vn/dien-thoai/realme-c3-3gb-32gb-pid145979.html,2690000,3 gb,32 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/637176200624636073_realme-c3-do-1.png.jpg,realme
masstel izi 230,https://viettelstore.vn/dien-thoai/masstel-izi-230-pid150099.html,380000,32mb,32mb,https://cdn1.viettelstore.vn/images/product/productimage/medium/izi230-gold.jpg,other
xiaomi redmi 9a 2/32gb,https://viettelstore.vn/dien-thoai/xiaomi-redmi-9a-2-32gb-pid152135.html,1990000,2 gb,32 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/bh18m-redmi-9a.jpg,xiaomi
itel it2590,https://viettelstore.vn/dien-thoai/itel-it2590-pid154472.html,450000,4mb,4mb,https://cdn1.viettelstore.vn/images/product/productimage/medium/1-itel%202590-1.jpg,other
itel it2173,https://viettelstore.vn/dien-thoai/itel-it2173-pid154471.html,290000,4mb,4mb,https://cdn1.viettelstore.vn/images/product/productimage/medium/itel%202173-gray-1.jpg,other
xiaomi redmi note 9 pro 6/128gb,https://viettelstore.vn/dien-thoai/xiaomi-redmi-note-9-pro-6-128gb-pid149982.html,5990000,6 gb,128 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/redmi-note-9-pro-6-grey1455275569.jpg,xiaomi
itel 5026,https://viettelstore.vn/dien-thoai/itel-5026-pid156693.html,300000,4mb,4mb,https://cdn1.viettelstore.vn/images/product/productimage/medium/itel%205026-blue-1.jpg,other
masstel fami 11,https://viettelstore.vn/dien-thoai/masstel-fami-11-pid156700.html,330000,32mb,32mb,https://cdn1.viettelstore.vn/images/product/productimage/medium/masstel%20fami%2011-1.jpg,other
itel 9200,https://viettelstore.vn/dien-thoai/itel-9200-pid179360.html,790000,512mb,4gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/itel-9200-bla-1.jpg,other
realme c25,https://viettelstore.vn/dien-thoai/realme-c25-pid186983.html,4690000,4gb,128gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/realme-c25-grey-1.jpg,realme
vivo x60 pro,https://viettelstore.vn/dien-thoai/vivo-x60-pro-pid183735.html,19990000,12gb+3gb (công nghệ mở rộng ram),256gb			,https://cdn1.viettelstore.vn/images/product/productimage/medium/vivo-x60pro-blu-1.jpg,vivo
vsmart bee lite 2,https://viettelstore.vn/dien-thoai/vsmart-bee-lite-2-pid196024.html,1590000,2gb,16gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/vsmart-bee-lite-2-grn-1.jpg,vsmart
oppo a15s,https://viettelstore.vn/dien-thoai/oppo-a15s-pid180800.html,3990000,4gb,64gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/1-oppo-a15s-blu-1.jpg,oppo
iphone se (2020) 64gb,https://viettelstore.vn/dien-thoai/iphone-se-2020-pid148509.html,9990000,3 gb,64 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/iphonese-red-1.jpg,iphone
iphone se (2020) 128gb,https://viettelstore.vn/dien-thoai/iphone-se-2020-128gb-pid150506.html,11490000,3 gb,128 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/iphonese-blac-1.jpg,iphone
realme 8 pro,https://viettelstore.vn/dien-thoai/realme-8-pro-pid195791.html,liênhệ,8gb,128gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/realme-8-pro.jpg,realme
realme 8,https://viettelstore.vn/dien-thoai/realme-8-pid195790.html,liênhệ,8gb,128gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/realme-8.jpg,realme
samsung galaxy s21+ 5g 8/256gb,https://viettelstore.vn/dien-thoai/samsung-galaxy-s21-5g-8-256gb-pid186683.html,19990000,8gb,256gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/ss-galaxy-s21plus-sil-1.jpg,samsung
samsung galaxy s21 ultra 5g 12/256gb,https://viettelstore.vn/dien-thoai/samsung-galaxy-s21-ultra-5g-12-256gb-pid186691.html,23990000,12gb,256gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/ss-galaxy-s21ultr-bla-1.jpg,samsung
samsung galaxy a02s a025 4/64gb,https://viettelstore.vn/dien-thoai/samsung-galaxy-a02s-a025-4-64gb-pid183066.html,3390000,4gb,64gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/samsung-galaxy-a20s-a025-blu-2.jpg,samsung
samsung galaxy note 10 lite,https://viettelstore.vn/dien-thoai/samsung-galaxy-note-10-lite-pid143965.html,9490000,8 gb,128 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/ss1427252593.jpg,samsung
vsmart joy 3 (4gb-64gb),https://viettelstore.vn/dien-thoai/vsmart-joy-3-4gb-64gb-pid146456.html,3290000,4gb,64gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/1vsmart-joy-3-4gb-64gb.jpg,vsmart
vsmart joy 3 2gb/32gb,https://viettelstore.vn/dien-thoai/vsmart-joy-3-2gb-32gb-pid145461.html,1890000,2gb,32gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/1vsmart-joy-3-2gb-32gb.jpg,vsmart
vsmart aris 8gb-128gb,https://viettelstore.vn/dien-thoai/vsmart-aris-8gb-128gb-pid161580.html,6690000,8 gb,128 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/18mths-vsmart%20aris-blu-1.jpg,vsmart
xiaomi redmi note 10 pro 6/128gb,https://viettelstore.vn/dien-thoai/xiaomi-redmi-note-10-pro-6-128gb-pid183885.html,6990000,6gb,128gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/xiaomi-redmi-note-10-pro-gol-1.jpg,xiaomi
xiaomi redmi note 10 pro 8/128gb,https://viettelstore.vn/dien-thoai/xiaomi-redmi-note-10-pro-pid182723.html,7490000,8gb,128gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/xiaomi-redmi-note-10-pro-blu-1.jpg,xiaomi
samsung galaxy a32 5g,https://viettelstore.vn/dien-thoai/samsung-galaxy-a32-5g-pid183196.html,6990000,8gb,128gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/samsung-galaxy-a32-5g-pur-1.jpg,samsung
iphone 11 128gb,https://viettelstore.vn/dien-thoai/iphone-11-128gb-1-pid141877.html,17990000,4 gb,128 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/iphone%2011-purp-1.jpg,iphone
iphone xr 64gb,https://viettelstore.vn/dien-thoai/iphone-xr-64gb-pid130380.html,12190000,3 gb,64 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/4580795516.jpg,iphone
xiaomi redmi note 10 4/64gb,https://viettelstore.vn/dien-thoai/xiaomi-redmi-note-10-4-64gb-pid183886.html,4690000,4gb,64gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/xiaomi-redmi-note-10-bla-1.jpg,xiaomi
xiaomi redmi note 10 pro 8/128gb mi ...,https://viettelstore.vn/dien-thoai/xiaomi-redmi-note-10-pro-8-128gb-mi-fan-festival-pid187186.html,7490000,8 gb,128 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/xiaomi-redmi-note-10-pro-mff-oran-1.jpg,xiaomi
samsung galaxy a01 core,https://viettelstore.vn/dien-thoai/samsung-galaxy-a01-core-pid153206.html,1590000,1gb,16gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/galaxy-a01-core-bla-1.jpg,samsung
